1	33	10	36	2	1	   
2	-69.5	0	3	1	1	   
3	-41	4	14	0	1	   
4	-40.5	1	0	0	1	   
5	21	21	24	0	1	   
6	-7.5	0	6	0	1	   
7	-42.5	0	2	0	1	   
8	10	4	6	0	1	   
9	29	12	18	0	1	   
10	-20.5	9.5	19	0	1	   
11	14	10	12	0	1	   
12	5	11	4	1	1	   
13	-53	-3	2	0	1	   
14	20	27	25	1	1	   
15	-44.5	-2	-4	1	1	   
16	-40.5	4	3	1	1	   
17	-65.5	1	7	1	1	   
18	-56	3	4	1	1	   
19	-46.5	-1	0	0	1	   
20	16	6	-5	1	1	   
21	-72.5	6	3	1	1	   
22	-75.5	-1	9	1	1	   
23	30	10	9	0	1	   
24	-15	4	14	2	1	   
25	1	12	23	1	1	   
26	-55	6	12	1	1	   
27	-73.5	6	7	1	1	   
28	-37.5	7	14	0	1	   
29	-33	13	5	1	1	   
30	-16.5	4	1	3	1	   
31	-52.5	15	13	1	1	   
32	-68	2	11	0	1	   
33	-22.5	11	11	1	1	   
34	-20.5	13	20	1	1	   
35	-32.5	7	12	2	1	   
36	-53.5	3	10	1	1	   
37	-4.5	2	4	1	1	   
38	-40.5	5	16	1	1	   
39	21	3	0	1	1	   
40	25	12.5	28	1	1	   
41	-10	10	5	1	1	   
42	-49.5	3	11	1	1	   
43	-72.5	-2	9	0	1	   
44	-70.5	3	0	0	1	   
45	-34.5	5	4	1	1	   
46	22	10	31	2	1	   
47	1	5	25	1	1	   
48	-75.5	-2	11	0	1	   
49	-71.5	-2	7	3	1	   
50	-52	1	17	1	1	   
51	-9	10	27	2	1	   
52	-22.5	4	14	1	1	   
53	-70.5	5	14	0	1	   
54	-44	9	6	2	1	   
55	3	13	19	1	1	   
56	-24	1	-1	1	1	   
57	28	20.5	9	0	1	   
58	21	4	-1	0	1	   
59	-45	7	-5	1	1	   
60	-68	0	10	0	1	   
61	-53	3	13	0	1	   
62	14	9	7	1	1	   
63	28	10	11	0	1	   
64	-12.5	9.5	10	0	1	   
65	-22.5	5	4	0	1	   
66	-11	8	5	0	1	   
67	-3.5	1	4	2	1	   
68	-69.5	-3	13	1	1	   
69	-68.5	-2	10	1	1	   
70	-68.5	-2	10	2	1	   
71	-47.5	-3	11	1	1	   
72	23	6	5	2	1	   
73	-77.5	0	14	0	1	   
74	-74.5	5	6	2	1	   
75	9	8	19	1	1	   
76	-15	9	8	2	1	   
77	-2	1	0	1	1	   
78	-5.5	10	4	0	1	   
79	-5.5	8	11	0	1	   
80	15	17.5	21	1	1	   
81	30	9.5	8	0	1	   
82	-21	5	8	0	1	   
83	-32.5	1	11	2	1	   
84	-3.5	6	-1	1	1	   
85	21	6	3	1	1	   
86	-66	1	4	2	1	   
87	-44.5	1	6	0	1	   
88	8	7	5	0	1	   
89	14	8	10	0	1	   
90	-34.5	6	16	0	1	   
91	-5.5	15	23	1	1	   
92	-41	-1	6	0	1	   
93	-58.5	0	5	0	1	   
94	16	42	33	2	1	   
95	-9.5	9	8	0	1	   
96	-42.5	4	6	1	1	   
97	-59.5	-3	2	2	1	   
98	-74.5	-3	12	2	1	   
99	-51.5	6	24	0	1	   
100	11	20	39	2	1	   
101	-38.5	3	11	1	1	   
102	3.5	5	19	1	1	   
103	27	14	13	1	1	   
104	-66.5	7	3	1	1	   
105	13	17	13	2	1	   
106	26	12	8	2	1	   
107	50	26	40	1	1	   
108	19	18	3	1	1	   
109	38	19.5	21	4	1	   
110	-41	7	10	0	1	   
111	-65.5	8	3	0	1	   
112	-41	0	4	1	1	   
113	-38.5	-1	2	2	1	   
114	-10	8	-2	1	1	   
115	-35	5	9	1	1	   
116	-67.5	2	5	1	1	   
117	-65.5	-2	11	1	1	   
118	-33	-3	8	1	1	   
119	-24	1	4	0	1	   
120	-67.5	-1	8	2	1	   
121	-49	2	8	1	1	   
122	22	3	-1	0	1	   
123	-32	5	6	2	1	   
124	17	12.5	4	1	1	   
125	39	20.5	29	3	1	   
126	-64.5	-3	5	1	1	   
127	-13.5	25	20	1	1	   
128	-85.5	-1	12	0	1	   
129	37	20	44	1	1	   
130	-52	3	12	1	1	   
131	-1.5	9.5	1	3	1	   
132	-84.5	-1	11	1	1	   
133	-18.5	3	12	1	1	   
134	-55.5	11	17	2	1	   
135	0.5	7.5	3	2	1	   
136	-86.5	-2	10	2	1	   
137	-74	5	13	1	1	   
138	-72	2	5	2	1	   
139	51	21	24	4	1	   
140	-74	6	7	2	1	   
141	-78.5	-2	8	2	1	   
142	-6.5	13	21	1	1	   
143	-48	0	7	1	1	   
144	-17.5	6	25	1	1	   
145	-5.5	-1	4	0	1	   
146	-63	-2	15	0	1	   
147	48	21	14	0	1	   
148	-6	6	20	1	1	   
149	-56	2	9	2	1	   
150	-7.5	5	3	0	1	   
151	-73.5	1	5	2	1	   
152	-83.5	4	11	1	1	   
153	-17	11	30	2	1	   
154	-54.5	5	10	1	1	   
155	-50	11	8	2	1	   
156	-37	2	8	1	1	   
157	-39.5	3	10	1	1	   
158	-25	3	2	0	1	   
159	-84.5	1	-5	1	1	   
160	-54.5	-1	8	2	1	   
161	-15	10	21	1	1	   
162	-49	6	6	2	1	   
163	23	7	1	2	1	   
164	15	3	5	2	1	   
165	14	4	8	2	1	   
166	-53	4	7	0	1	   
167	-35.5	2	11	0	1	   
168	-9.5	14	7	1	1	   
169	16	10	5	2	1	   
170	16	10	5	1	1	   
171	-2	11	29	2	1	   
172	-49.5	4	9	1	1	   
173	-6.5	6	16	1	1	   
174	26	21.5	31	2	1	   
175	47	32	53	1	1	   
176	1	15	17	1	1	   
177	-39.5	20	20	1	1	   
178	0	38	19	2	1	   
179	-84.5	0	10	1	1	   
180	-40.5	0	7	2	1	   
181	0.5	15	11	1	1	   
182	-11.5	10	14	1	1	   
183	1	10	20	1	1	   
184	-48.5	3	14	0	1	   
185	-80.5	2	15	1	1	   
186	-11	9	10	2	1	   
187	-66.5	6	30	1	1	   
